,price,item_id
6,0.3,6
147,0.5,147
184,1.6,184
114,2.7,114
108,3.0,108
18,3.2,18
116,3.8,116
87,4.5,87
28,4.5,28
13,4.6,13
45,5.0,45
22,5.3,22
145,5.8,145
53,5.9,53
178,6.3,178
198,6.6,198
40,6.7,40
82,6.8,82
48,6.9,48
61,7.4,61
173,7.5,173
44,7.6,44
132,7.7,132
192,7.7,192
133,7.9,133
154,8.0,154
52,8.3,52
35,8.3,35
83,8.6,83
155,9.0,155
14,9.1,14
141,9.3,141
139,9.7,139
36,9.8,36
43,9.9,43
194,9.9,194
188,9.9,188
37,10.6,37
25,10.8,25
71,11.2,71
58,11.3,58
157,11.8,157
41,12.0,41
69,12.1,69
129,12.4,129
102,12.6,102
76,12.6,76
143,12.7,143
126,12.8,126
189,12.8,189
56,13.0,56
121,13.4,121
169,13.9,169
168,14.0,168
31,14.1,31
196,14.7,196
195,15.0,195
144,15.5,144
59,15.6,59
49,16.3,49
185,16.4,185
16,16.5,16
99,16.8,99
101,17.4,101
34,18.0,34
159,18.1,159
21,18.2,21
191,18.2,191
11,18.2,11
2,18.7,2
92,18.7,92
98,18.8,98
95,18.9,95
182,18.9,182
12,19.0,12
158,19.4,158
15,19.6,15
91,19.6,91
174,19.7,174
160,19.9,160
179,20.0,179
65,20.2,65
128,20.3,128
46,20.4,46
172,20.6,172
120,20.7,120
39,20.8,39
149,20.9,149
136,20.9,136
151,21.1,151
96,21.6,96
197,21.7,197
183,21.9,183
104,21.9,104
27,22.1,27
88,22.1,88
97,22.2,97
171,22.8,171
161,22.9,161
26,23.0,26
180,23.1,180
29,23.5,29
113,23.9,113
100,24.2,100
86,24.7,86
32,24.9,32
93,24.9,93
190,25.2,190
142,25.2,142
77,25.2,77
90,25.6,90
163,25.6,163
175,26.1,175
181,26.4,181
112,26.6,112
17,26.7,17
62,27.3,62
164,27.3,164
4,27.5,4
127,28.3,127
42,28.4,42
176,28.5,176
124,28.5,124
9,28.6,9
137,28.6,137
63,29.8,63
75,29.8,75
131,30.5,131
105,30.7,105
199,30.8,199
118,30.8,118
85,30.8,85
94,31.0,94
10,31.3,10
134,31.5,134
67,31.9,67
50,32.2,50
119,32.7,119
8,33.1,8
54,34.1,54
19,34.2,19
57,34.7,57
177,34.8,177
3,34.8,3
122,34.9,122
165,35.0,165
103,35.2,103
47,35.3,47
70,35.6,70
111,35.8,111
170,35.9,170
68,36.3,68
115,36.4,115
123,37.1,123
146,37.8,146
84,37.8,84
166,37.9,166
20,38.2,20
162,39.1,162
193,39.5,193
125,39.5,125
60,40.1,60
106,40.5,106
73,40.9,73
150,41.8,150
135,41.9,135
153,42.5,153
148,43.0,148
30,43.2,30
33,43.5,33
117,43.7,117
38,43.8,38
140,44.6,140
66,45.1,66
24,45.3,24
109,45.3,109
64,45.6,64
89,46.3,89
0,47.3,0
186,48.0,186
74,48.2,74
78,48.4,78
110,48.4,110
167,49.1,167
55,50.3,55
5,50.7,5
187,50.7,187
156,50.8,156
152,51.3,152
81,51.8,81
23,52.1,23
107,56.1,107
51,56.3,51
72,57.2,72
80,62.6,80
79,65.0,79
138,65.1,138
1,66.2,1
7,76.7,7
130,86.6,130
